Time,CPU(%),RAM(MB)
2025-12-11 21:40:59,0.0,25.0
2025-12-11 21:41:05,0.0,25.0
2025-12-11 21:41:10,0.0,25.0
2025-12-11 21:41:15,0.0,25.0
2025-12-11 21:41:20,0.0,25.0
2025-12-11 21:41:25,0.0,25.0
2025-12-11 21:41:30,0.0,25.0
2025-12-11 21:41:35,0.0,25.0
2025-12-11 21:41:40,0.0,25.0
2025-12-11 21:41:45,0.0,25.0
2025-12-11 21:41:51,0.0,25.0
2025-12-11 21:41:56,0.0,25.0
2025-12-11 21:42:01,0.0,25.0
2025-12-11 21:42:06,0.0,25.0
2025-12-11 21:42:11,0.0,25.0
2025-12-11 21:42:16,0.0,25.0
2025-12-11 21:42:21,0.0,25.0
2025-12-11 21:42:26,0.0,25.0
2025-12-11 21:42:32,0.0,25.0
2025-12-11 21:42:37,0.0,25.0
2025-12-11 21:42:42,0.0,25.0
2025-12-11 21:42:47,0.0,25.0
2025-12-11 21:42:52,0.0,25.0
2025-12-11 21:42:57,0.0,25.0
2025-12-11 21:43:02,0.0,25.0
2025-12-11 21:43:07,0.0,25.0
2025-12-11 21:43:12,0.0,25.0
2025-12-11 21:43:18,0.0,25.0
2025-12-11 21:43:23,0.0,25.0
2025-12-11 21:43:28,0.0,25.0
2025-12-11 21:43:33,0.0,25.0
2025-12-11 21:43:38,0.0,25.0
2025-12-11 21:43:43,0.0,25.0
2025-12-11 21:43:48,0.0,25.0
2025-12-11 21:43:53,0.0,25.0
2025-12-11 21:43:58,0.0,25.0
2025-12-11 21:44:04,0.0,25.0
2025-12-11 21:44:09,0.0,25.0
2025-12-11 21:44:14,0.0,25.0
2025-12-11 21:44:19,0.0,25.0
2025-12-11 21:44:24,0.0,25.0
2025-12-11 21:44:29,0.0,25.0
2025-12-11 21:44:34,0.0,25.0
2025-12-11 21:44:39,0.0,25.0
2025-12-11 21:44:45,0.0,25.0
2025-12-11 21:44:50,0.0,25.0
2025-12-11 21:44:55,0.0,25.0
2025-12-11 21:45:00,0.0,25.0
2025-12-11 21:45:05,0.0,25.0
2025-12-11 21:45:10,0.0,25.0
2025-12-11 21:45:15,0.0,21.1
2025-12-11 21:45:20,0.0,21.1
2025-12-11 21:45:25,0.0,21.1
2025-12-11 21:45:31,0.0,21.1
2025-12-11 21:45:36,0.0,21.1
2025-12-11 21:45:41,0.0,21.1
2025-12-11 21:45:46,0.0,21.1
2025-12-11 21:45:51,0.0,21.1
2025-12-11 21:45:56,16.6,21.1
2025-12-11 21:46:01,0.0,21.1
2025-12-11 21:46:06,0.0,21.1
2025-12-11 21:46:11,0.0,21.1
2025-12-11 21:46:17,0.0,21.1
2025-12-11 21:46:22,0.0,21.1
2025-12-11 21:46:27,0.0,21.1
2025-12-11 21:46:32,0.0,21.1
2025-12-11 21:46:37,0.0,21.1
